Name,Total,Gas,Stellar
2A0335,3.127069e+12
A0085,1.456950e+13
A0119,1.073887e+14
A0133,4.962050e+12
A0262,2.138037e+12
A0399,1.297050e+14
A0400,1.040071e+13
A0401,6.824862e+13
A0478,2.335254e+13
A0496,3.283264e+12
A0576,7.154272e+13
A0754,8.220250e+13
A1060,1.012164e+13
A1367,5.173699e+13
A1644,4.454888e+13
A1650,6.065355e+13
A1651,3.992209e+13
A1736,3.884437e+13
A1795,1.527149e+13
A2029,2.300962e+13
A2052,3.141377e+12
A2063,1.243348e+13
A2065,2.367055e+14
A2142,4.356631e+13
A2147,2.828798e+13
A2163,3.006039e+14
A2199,2.043757e+13
A2204,1.578969e+13
A2244,2.949485e+13
A2255,1.777702e+14
A2256,2.203103e+14
A2589,1.424686e+13
A2597,7.111648e+12
A2634,4.719242e+13
A2657,1.340333e+13
A3112,9.041477e+12
A3158,5.596304e+13
A3266,1.892658e+14
A3376,1.870982e+14
A3391,4.228229e+13
A3395s,1.530187e+14
A3526,3.690149e+12
A3558,3.894796e+13
A3562,1.306794e+13
A3571,4.191576e+13
A3581,1.904181e+12
A3667,5.784805e+13
A4038,5.411592e+12
A4059,1.162749e+13
COMA,1.029213e+14
EXO0422,1.627844e+13
FORNAX,9.138451e+12
HYDRA-A,5.960702e+12
IIIZw54,3.031548e+13
MKW3S,7.348138e+12
MKW4,4.531382e+11
MKW8,9.756900e+12
NGC~1550,1.951855e+12
NGC~4636,1.225845e+11
NGC~5044,3.376735e+11
NGC~507,5.819643e+11
S1101,5.772634e+12
ZwCl~1215,1.078412e+14
